,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
26,2009,Vallvidrera el Tibidabo i les Planes,4295.0,89.1,10.9,,,394940,238277,28339,12707,30645,1912,16723,4264,12246,3940.0,10468,30858.0,4561,1.199,13.4,0.0894776119402985,53.7834691501746,45.1688009313155,8.614668218859094,1.0
27,2009,Verdun,12418.0,82.6,17.4,,,460497,347941,30925,49733,15100,2576,11629,0,489,499.0,1604,0.0,1,713.0,11.5,62.0,78.8371718473184,74.4081172491545,4.429054598163901,1.0
28,2009,Vilapicina i la Torre Llobeta,25957.0,87.0,13.0,,,1233965,836408,165512,108331,63099,13895,29254,7537,4418,603.0,2297,958.0,1653,801.0,11.64,68.81443298969072,56.6321223562045,56.8247486227222,-0.1926262665176992,0.0
29,2009,el Baix Guinardó,26287.0,85.8,14.2,,,1299516,901962,119728,91730,67732,24192,36908,35637,7258,3820.0,5356,1359.0,3834,869.0,12.06,72.0563847429519,59.5731730513181,59.5731730513181,0.0,0.0
30,2009,el Barri Gòtic,21045.0,62.2,37.8,,,2114277,933865,65002,218969,175900,297734,73075,6897,174594,2752.0,36749,18458.0,110282,971.0,14.39,67.4774148714385,75.9800427655025,117.082442385365,-41.102399619862496,0.0
31,2009,el Besòs i el Maresme,24527.0,76.6,23.4,,,915388,605710,22905,83364,95768,12764,34180,21830,1291,10107.0,3266,1453.0,22750,866.0,12.33,70.23519870235198,80.5235047090961,85.905328821299,-5.381824112202892,0.0
32,2009,el Bon Pastor,13808.0,85.0,15.0,,,1471915,346578,36294,197351,798087,70114,8631,5415,5294,2546.0,1043,0.0,562,754.0,11.08,68.05054151624549,54.6784472769409,61.1964078794901,-6.517960602549202,0.0
33,2009,el Camp d'en Grassot i Gràcia Nova,34838.0,86.9,13.1,,,2053068,1370600,243941,128533,125002,65258,40895,15046,2788,24952.0,10119,799.0,25135,922.0,13.31,69.27122464312546,54.5955565761525,54.7964865950973,-0.20093001894480267,0.0
34,2009,el Camp de l'Arpa del Clot,38917.0,84.3,15.7,,,1928727,1390223,181973,115713,146621,29268,28829,7627,18064,4952.0,3024,830.0,1603,859.0,12.62,68.06656101426307,60.6675745818023,64.2649741758101,-3.597399594007797,0.0
35,2009,el Carmel,33081.0,85.8,14.2,,,1256426,929677,112272,82431,64923,9314,29694,9327,2055,12216.0,3277,990.0,250,710.0,10.99,64.6041856232939,67.1080076176657,65.9290831595175,1.1789244581482023,1.0
