,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
104,2010,el Besòs i el Maresme,24403.0,75.8,24.2,,,929806,617056,24725,84684,95768,12696,34180,21830,1291,10107.0,3266,1453.0,22750,777.0,11.45,67.86026200873363,88.6353109604615,92.0880879194913,-3.452776959029805,0.0
105,2010,el Bon Pastor,13846.0,85.6,14.4,,,1496904,349573,44167,198748,811425,70809,8631,4106,5294,2546.0,1043,0.0,562,738.0,10.41,70.89337175792507,67.6620538965768,79.0240349599417,-11.361981063364908,0.0
106,2010,el Camp d'en Grassot i Gràcia Nova,34681.0,87.2,12.8,,,2063593,1375163,245136,129173,123696,65542,40895,20195,2788,24952.0,10119,799.0,25135,845.0,12.7,66.53543307086615,60.8211431374246,62.2349173374881,-1.4137742000635,0.0
107,2010,el Camp de l'Arpa del Clot,38399.0,84.8,15.2,,,1929126,1392450,184233,114582,144845,29038,27980,7627,17962,4952.0,3024,830.0,1603,806.0,11.97,67.33500417710944,69.043768584694,74.2866085867807,-5.2428400020866945,0.0
108,2010,el Carmel,32753.0,86.1,13.9,,,1271637,939369,115125,85544,64637,9205,29642,9327,2055,12216.0,3277,990.0,250,665.0,10.47,63.51480420248328,69.5230146217812,67.5136789390708,2.0093356827104003,1.0
109,2010,el Clot,27505.0,85.8,14.2,,,1308777,912563,171463,100149,67680,16762,23241,5878,2046,4183.0,1792,348.0,2672,828.0,12.0,69.0,63.1751227495908,64.0480087288598,-0.8728859792690002,0.0
110,2010,el Coll,7271.0,85.3,14.7,,,356431,261859,36775,22723,14763,3503,3872,290,4836,4202.0,910,0.0,2698,747.0,11.68,63.955479452054796,70.7182320441989,64.6408839779005,6.0773480662983985,1.0
111,2010,el Congrés i els Indians,13977.0,86.3,13.7,,,721492,497177,60250,66874,40698,9455,28226,4330,4637,4929.0,4681,0.0,235,785.0,11.33,69.28508384819064,64.9899684723416,62.6253940957294,2.364574376612204,1.0
112,2010,el Fort Pienc,32900.0,81.9,18.1,,,2083389,1274399,227931,125957,165176,133055,45689,10545,36257,20955.0,5986,30454.0,6985,959.0,12.38,77.46365105008077,66.0128715905608,72.2647870058229,-6.25191541526209,0.0
113,2010,el Guinardó,35803.0,85.6,14.4,,,1930280,1278405,178882,132437,128872,28516,29016,123255,11171,9073.0,7896,1638.0,1119,756.0,11.22,67.37967914438502,71.294348618707,69.0506240358996,2.2437245828074026,1.0
114,2010,el Parc i la Llacuna del Poblenou,13728.0,80.5,19.5,,,1811777,500377,180217,219147,656478,203565,9232,4539,22710,5766.0,1398,0.0,8348,907.0,12.85,70.58365758754864,71.6513216513217,57.6923076923077,13.959013959013994,1.0
115,2010,el Poble Sec - Parc Montjuïc,41138.0,71.3,28.7,,,2713375,1213255,139817,177578,223974,85714,118831,9194,217448,204371.0,7674,238597.0,76922,748.0,12.73,58.75883739198743,102.503718393654,103.569657907784,-1.065939514130008,0.0
116,2010,el Poblenou,31961.0,84.0,16.0,,,1836255,1141411,146505,155560,272486,47476,16735,13799,30388,2235.0,6512,2219.0,929,895.0,13.55,66.05166051660517,83.0863371259203,66.7049112407177,16.38142588520259,1.0
117,2010,el Putxet i el Farró,30566.0,87.4,12.6,,,2105561,1435010,285720,120625,96639,69933,31937,23754,16268,13033.0,10454,1709.0,479,973.0,13.51,72.02072538860104,66.0277243483452,71.9970816475426,-5.969357299197398,0.0
118,2010,el Raval,48767.0,52.1,47.9,,,2703062,1540922,163936,213005,148816,140602,169384,14885,201474,11446.0,29450,51621.0,17521,790.0,14.0,56.42857142857143,173.28733783412,185.117775285179,-11.830437451058998,0.0
119,2010,el Turó de la Peira,16932.0,76.9,23.1,,,577492,448233,25666,32924,34182,2439,18636,5088,422,4753.0,4851,0.0,298,688.0,10.87,63.29346826126955,92.0098303662411,77.8037523227237,14.206078043517408,1.0
120,2010,l'Antiga Esquerra de l'Eixample,42076.0,81.4,18.6,,,3990896,2313718,370368,335377,233287,343333,91524,156375,85049,6489.0,20592,9358.0,25426,1.023,13.11,0.07803203661327231,67.9090713105133,69.0828083455098,-1.1737370349965062,0.0
121,2010,la Barceloneta,16261.0,71.8,28.2,,,912935,427971,134367,60928,6285,121625,28139,39271,73317,16739.0,3627,0.0,666,748.0,18.0,41.55555555555556,91.9932915087894,97.5215851916268,-5.5282936828374005,0.0
122,2010,la Bordeta,18519.0,86.2,13.8,,,1003161,599518,127328,76123,105412,39110,16726,2514,1402,703.0,1368,0.0,32957,803.0,11.32,70.93639575971731,57.0095462833852,52.5581894240051,4.451356859380098,1.0
123,2010,la Clota,451.0,77.3,22.7,,,36800,18720,888,2492,12044,0,1390,411,0,0.0,855,0.0,0,,,,64.0176600441501,66.2251655629139,-2.2075055187637957,0.0
124,2010,la Dreta de l'Eixample,43473.0,82.8,17.2,,,6548257,3073975,459437,670170,547716,1190132,151986,48599,273122,10798.0,46784,27904.0,47634,1.147,14.44,0.07943213296398892,67.502030397958,66.7594848590324,0.7425455389255973,1.0
125,2010,la Font d'en Fargues,9585.0,93.8,6.2,,,526979,372468,63256,13018,23390,3294,25179,7837,1694,12310.0,2718,1258.0,557,757.0,11.5,65.82608695652173,46.0992907801418,43.700458906967,2.3988318731747995,1.0
126,2010,la Font de la Guatlla,10310.0,81.7,18.3,,,541760,367085,67968,40135,43313,8238,7270,52,4520,1155.0,724,775.0,525,824.0,12.84,64.17445482866043,68.378562396654,64.0988230716856,4.2797393249684035,1.0
127,2010,la Guineueta,15268.0,91.9,8.1,,,761497,521655,64690,41180,13802,30426,18278,3042,3196,27118.0,1929,0.0,36181,785.0,9.95,78.89447236180905,49.2285564853557,46.4173640167364,2.8111924686193035,1.0
128,2010,la Marina de Port,30134.0,85.8,14.2,,,1469812,922811,230602,95680,67302,42920,23888,3417,1044,34929.0,1721,44635.0,863,817.0,10.99,74.34030937215651,60.9282083651706,56.8419653832099,4.0862429819606945,1.0
129,2010,la Marina del Prat Vermell,1069.0,91.2,8.8,,,4010948,79548,879451,256556,2425264,278249,32909,2424,8884,8074.0,155,0.0,39434,,,,48.28797190518,39.5083406496927,8.779631255487303,1.0
130,2010,la Maternitat i Sant Ramon,23818.0,89.3,10.7,,,2380197,958849,281955,112445,145433,159434,239332,47946,128238,277414.0,3878,140.0,25133,958.0,12.49,76.7013610888711,48.5641004078543,46.840179960476,1.7239204473782976,1.0
131,2010,la Nova Esquerra de l'Eixample,58247.0,83.9,16.1,,,4057698,2440661,490773,295683,227900,309221,102969,62581,47819,11375.0,10464,11213.0,47039,957.0,12.69,75.41371158392435,62.5204695499285,65.4853222553566,-2.9648527054281075,0.0
132,2010,la Prosperitat,26749.0,84.9,15.1,,,1057034,774783,94792,73134,57092,8128,29371,3421,1315,12736.0,1622,536.0,104,715.0,11.0,65.0,66.3029162746943,60.7714016933208,5.5315145813735,1.0
133,2010,la Sagrada Família,52424.0,83.1,16.9,,,2957403,2041661,319781,223136,207107,81993,9567,39786,13803,10158.0,1785,3197.0,5429,885.0,12.0,73.75,70.581018651638,71.6736634270707,-1.0926447754326887,0.0
134,2010,la Sagrera,29117.0,86.7,13.3,,,1558421,957552,183429,119168,138624,42473,61459,11263,2437,4752.0,1745,0.0,35519,813.0,11.27,72.13842058562555,72.7864538245784,61.9827556355829,10.803698188995504,1.0
135,2010,la Salut,13267.0,87.9,12.1,,,828125,533396,81896,34122,33552,12718,20485,72953,4442,19477.0,13737,665.0,682,851.0,12.37,68.79547291835085,54.2752045642219,59.9804819457999,-5.705277381578,0.0
136,2010,la Teixonera,11481.0,84.9,15.1,,,468120,347282,54294,32144,26903,3226,2096,203,719,181.0,1071,0.0,1,687.0,10.78,63.7291280148423,65.6458844429405,69.0296929193808,-3.383808476440308,0.0
137,2010,la Trinitat Nova,7815.0,80.9,19.1,,,250399,198013,3236,9252,20516,732,10337,3608,204,3065.0,1436,0.0,0,652.0,11.38,57.29349736379613,107.102020073688,122.220810570448,-15.118790496759999,0.0
138,2010,la Trinitat Vella,10544.0,65.5,34.5,,,400699,248034,43405,32874,40014,5154,10727,1890,1967,2646.0,3253,0.0,10735,674.0,10.46,64.4359464627151,117.468997168245,127.721902157992,-10.252904989747009,0.0
139,2010,la Vall d'Hebron,5630.0,90.4,9.6,,,350176,208796,5673,6037,12538,1775,22587,512,13478,54501.0,22694,0.0,1585,865.0,10.88,79.50367647058823,48.2979860987346,44.0206736767065,4.277312422028096,1.0
140,2010,la Verneda i la Pau,29385.0,89.7,10.3,,,1439264,949662,68539,87124,267772,21338,25902,1837,426,4636.0,1769,0.0,10259,777.0,10.5,74.0,44.7725729803123,47.3523421588595,-2.5797691785472026,0.0
141,2010,la Vila Olímpica del Poblenou,9275.0,83.2,16.8,,,1074429,429399,206727,79390,135965,84617,38469,7143,25086,45360.0,736,0.0,21537,1.067,14.96,0.0713235294117647,50.6493506493507,50.8658008658009,-0.21645021645019824,0.0
142,2010,la Vila de Gràcia,52586.0,82.4,17.6,,,3398761,2249898,280796,230190,260018,171975,58332,26234,39598,9615.0,47160,18347.0,6598,852.0,13.95,61.075268817204304,74.3055953814685,81.8183556039839,-7.512760222515396,0.0
143,2010,les Corts,47635.0,89.8,10.2,,,3826541,1937586,594946,354557,288740,399061,56238,61738,93200,18089.0,13332,4785.0,4269,1.002,13.33,0.0751687921980495,56.8989143037841,59.5340992937704,-2.6351849899863,0.0
144,2010,les Roquetes,16178.0,78.4,21.6,,,551470,410985,34410,33474,28519,2118,19214,1912,1519,19062.0,257,0.0,0,654.0,11.09,58.97204688908927,87.5720370834377,86.3192182410423,1.2528188423954134,1.0
145,2010,les Tres Torres,15807.0,90.7,9.3,,,1508365,932296,241207,48748,67996,70172,53859,51395,12899,14922.0,14812,59.0,0,1.395,14.89,0.09368703828072532,50.1238803125596,47.5827456959532,2.5411346166063993,1.0
146,2011,Baró de Viver,2343.0,92.3,7.7,4.2,176.0,110971,80163,10269,11414,2004,707,5883,0,0,0.0,224,0.0,307,,,,48.4672742336371,36.8682684341342,11.599005799502898,1.0
147,2011,Can Baró,8984.0,86.3,13.7,19.6,578.0,412981,317501,29751,22640,25356,3908,8546,2335,1778,1112.0,0,0.0,54,698.0,10.73,65.05125815470643,54.8835125448029,55.5555555555556,-0.6720430107527022,0.0
148,2011,Can Peguera,2249.0,95.1,4.9,5.2,159.0,56019,46336,3542,831,533,0,4403,0,0,,374,0.0,0,,,,43.75,40.1785714285714,3.571428571428598,1.0
149,2011,Canyelles,7170.0,94.6,5.4,8.3,644.0,304971,240025,12396,9562,22239,7034,7828,1768,628,3022.0,105,0.0,364,738.0,9.54,77.35849056603774,38.6740331491713,36.878453038674,1.7955801104972977,1.0
150,2011,Ciutat Meridiana,10832.0,64.7,35.3,4.4,1305.0,277044,233846,2009,10199,7813,2279,15732,456,2486,1232.0,992,0.0,0,615.0,9.62,63.929313929313935,98.7677027772669,105.205076328858,-6.437373551591094,0.0
151,2011,Diagonal Mar i el Front Marítim del Poblenou,12289.0,83.8,16.2,36.4,913.0,1465641,529707,383995,133412,30666,178413,11267,299,108155,30963.0,2478,56166.0,120,1.441,14.89,0.09677635997313633,59.2105263157895,42.4716855429714,16.7388407728181,1.0
152,2011,Horta,27312.0,90.8,9.2,17.0,2006.0,1423424,899574,144807,94341,72122,13446,48861,39144,4807,83083.0,17859,5124.0,256,720.0,10.81,66.6049953746531,53.4916657587973,59.011511784145,-5.519846025347697,0.0
153,2011,Hostafrancs,15955.0,77.5,22.5,21.8,1063.0,1030391,548518,124604,112889,92052,47935,25163,967,63138,11863.0,2478,784.0,0,780.0,11.89,65.6013456686291,88.4190596402651,83.8750394446198,4.544020195645302,1.0
154,2011,Montbau,5191.0,89.0,11.0,20.0,323.0,547580,157523,29467,9402,47834,11425,108398,157051,2513,17628.0,6339,0.0,0,724.0,10.79,67.09916589434663,47.9754365764728,44.9050086355786,3.0704279408942057,1.0
155,2011,Navas,21758.0,85.6,14.4,20.0,1429.0,1055761,750631,113919,97240,56757,11504,12047,742,3732,1185.0,4563,3087.0,354,791.0,10.63,74.41204139228597,60.399594880766,55.6578583924132,4.7417364883527995,1.0
156,2011,Pedralbes,11629.0,83.9,16.1,44.6,335.0,1561684,788291,168847,28093,50069,55233,277230,5805,18853,38618.0,26877,1158.0,102610,2.372,14.42,0.16449375866851595,40.8899579073963,46.7313804655957,-5.8414225581993975,0.0
157,2011,Porta,24909.0,85.8,14.2,12.4,1754.0,1271255,750068,236501,135595,53302,32211,16973,707,22073,4918.0,2527,10555.0,5825,699.0,10.53,66.38176638176638,67.6198486122792,70.3532380151388,-2.7333894028596006,0.0
158,2011,Provençals del Poblenou,19732.0,86.6,13.4,17.6,1413.0,1276636,670522,102364,74244,318285,72321,16229,908,13561,84.0,1862,0.0,6256,920.0,12.5,73.6,56.441717791411,50.1022494887526,6.339468302658403,1.0
159,2011,Sant Andreu,55902.0,92.0,8.0,18.9,4055.0,2931732,1958803,342435,238520,224974,28375,54218,17790,10278,29377.0,11567,7626.0,7769,766.0,10.87,70.4691812327507,51.2985045362993,47.2167263782685,4.081778158030801,1.0
160,2011,Sant Antoni,38130.0,80.9,19.1,28.2,2464.0,2425467,1634221,208045,226738,140939,101313,25118,23615,26910,13979.0,8395,11593.0,4601,888.0,11.78,75.38200339558574,74.4697647492237,70.9173201410452,3.5524446081785044,1.0
161,2011,Sant Genís dels Agudells,6977.0,87.5,12.5,14.9,447.0,362689,249028,26984,16488,13406,3421,31866,4307,1051,9949.0,4804,1385.0,0,760.0,9.96,76.30522088353413,58.4221748400853,59.5593461265103,-1.1371712864250014,0.0
162,2011,Sant Gervasi - Galvany,46207.0,89.2,10.8,45.1,1727.0,5130211,3106810,590131,362872,216215,505599,91982,83399,75807,36798.0,28516,23587.0,8495,1.391,13.22,0.10521936459909229,53.0540710128308,53.0757080727871,-0.021637059956297833,0.0
163,2011,Sant Gervasi - la Bonanova,24432.0,90.8,9.2,44.4,880.0,2497257,1422616,303383,116724,110931,89125,163681,146875,25338,62174.0,39055,3914.0,13441,1.364,13.73,0.09934450109249818,59.4327990135635,50.8425811755035,8.590217838060006,1.0
164,2011,Sant Martí de Provençals,26178.0,88.9,11.1,13.9,2000.0,1225438,879281,96879,68600,66204,24494,51686,9186,6227,15122.0,7720,0.0,39,815.0,10.6,76.88679245283019,51.0625286653417,48.5781990521327,2.484329613208999,1.0
165,2011,Sant Pere Santa Caterina i la Ribera,22632.0,62.9,37.1,31.7,2024.0,1918300,1054324,94524,143840,134217,170775,75452,3828,59462,623.0,12003,8900.0,160352,933.0,14.65,63.68600682593856,102.052655064703,107.630522088353,-5.5778670236500005,0.0
166,2011,Sants,41666.0,82.8,17.2,23.8,2568.0,2519966,1490432,273390,246197,289479,76627,52687,18856,51871,7519.0,5040,6490.0,1378,811.0,11.56,70.15570934256056,69.2776824852297,72.041166380789,-2.7634838955592897,0.0
167,2011,Sants - Badal,24431.0,81.8,18.2,18.6,1359.0,1188722,799689,146519,109516,83552,21621,10369,4829,1918,6169.0,3294,215.0,1031,763.0,11.52,66.23263888888889,64.0804597701149,59.5648604269294,4.5155993431854995,1.0
168,2011,Sarrià,24153.0,88.2,11.8,45.2,696.0,2050618,1201162,273249,90270,74626,45365,175967,63048,17098,45908.0,40355,94.0,23476,1.377,15.11,0.09113170086035738,59.2165706172221,51.9502213313288,7.266349285893298,1.0
169,2011,Torre Baró,2193.0,89.1,10.9,3.9,250.0,120343,85197,7749,6310,11596,0,7300,1190,515,179.0,223,0.0,84,612.0,8.31,73.64620938628158,62.1546961325967,54.3278084714549,7.826887661141797,1.0
170,2011,Vallbona,1381.0,87.2,12.8,6.2,152.0,93480,54007,7657,7781,3867,0,2746,34,7485,9074.0,82,0.0,747,629.0,9.88,63.66396761133603,82.65078183172,56.5897244973939,26.061057334326094,1.0
171,2011,Vallcarca i els Penitents,15396.0,87.1,12.9,33.8,955.0,1068672,684127,125479,44509,36479,11974,27299,111555,6911,13759.0,5964,142.0,474,971.0,11.97,81.11946532999164,60.7770642796912,58.5068430952844,2.2702211844068003,1.0
172,2011,Vallvidrera el Tibidabo i les Planes,4355.0,88.4,11.6,36.3,123.0,419574,259603,32076,12308,30366,1912,16253,4453,12246,4470.0,10468,30858.0,4561,1.717,11.63,0.1476354256233878,66.0618748546174,37.6831821353803,28.3786927192371,1.0
173,2011,Verdun,12396.0,82.0,18.0,7.8,1070.0,476131,356089,39251,49070,14923,2576,11629,0,489,499.0,1604,0.0,1,675.0,10.82,62.38447319778189,77.5918102047449,81.979200519987,-4.387390315242101,0.0
174,2011,Vilapicina i la Torre Llobeta,25515.0,86.9,13.1,16.6,1819.0,1248316,845651,170401,109083,60342,15285,29254,8356,4418,618.0,2297,958.0,1653,745.0,10.36,71.91119691119691,64.4932950568249,59.6956231074757,4.797671949349208,1.0
175,2011,el Baix Guinardó,25972.0,86.2,13.8,25.0,1592.0,1331811,908603,132869,83765,63769,20978,36642,49292,7258,13939.0,5356,72.0,9268,821.0,11.11,73.8973897389739,66.5206363845977,64.6760433479364,1.8445930366612941,1.0
176,2011,el Barri Gòtic,17257.0,61.9,38.1,30.1,1461.0,2125125,936200,67420,226869,169980,290768,72646,7031,188749,2797.0,35164,17219.0,110282,966.0,13.81,69.94931209268645,90.1226889806072,115.112794707978,-24.990105727370803,0.0
177,2011,el Besòs i el Maresme,23998.0,75.0,25.0,7.7,2091.0,978769,617091,36188,82885,89360,37347,37602,21830,18728,10608.0,2927,1453.0,22750,859.0,11.31,75.95048629531388,80.1319525638884,87.9405378319693,-7.80858526808089,0.0
178,2011,el Bon Pastor,13374.0,86.1,13.9,10.1,1002.0,1526503,349253,53119,196434,823605,79579,8631,6532,5199,2546.0,1043,0.0,562,744.0,10.71,69.46778711484593,71.4128116496286,79.8705596822829,-8.457748032654308,0.0
179,2011,el Camp d'en Grassot i Gràcia Nova,34497.0,86.4,13.6,32.7,2075.0,2079169,1384068,253515,129501,121978,65224,40895,20195,2788,24952.0,10119,799.0,25135,872.0,12.35,70.60728744939271,61.0953017016087,61.676055520065,-0.5807538184563015,0.0
180,2011,el Camp de l'Arpa del Clot,37957.0,84.4,15.6,23.1,2805.0,1934096,1395866,192839,114656,137417,29097,27980,7627,18205,4952.0,3024,830.0,1603,788.0,11.49,68.58137510879025,70.6365719402671,67.1073770707683,3.5291948694988093,1.0
181,2011,el Carmel,32425.0,86.1,13.9,9.0,2497.0,1278566,944338,116949,85504,64222,9796,29642,9327,2055,12216.0,3277,990.0,250,680.0,10.09,67.39345887016849,61.1685561230846,61.4800049831818,-0.31144886009720096,0.0
182,2011,el Clot,27114.0,85.6,14.4,20.7,1819.0,1323889,917369,172112,101465,67556,16134,23602,7774,5443,6527.0,1792,1379.0,2736,814.0,11.4,71.40350877192982,62.3835786551737,64.3558932028197,-1.9723145476460004,0.0
183,2011,el Coll,7296.0,85.0,15.0,25.1,404.0,358941,264184,36795,22901,14661,3592,3872,290,4836,4202.0,910,0.0,2698,745.0,11.22,66.39928698752227,54.2242913871012,58.8799123647816,-4.655620977680407,0.0
184,2011,el Congrés i els Indians,14063.0,85.7,14.3,19.3,927.0,724459,498698,60250,66803,40439,9455,28226,5110,5559,4929.0,4755,0.0,235,780.0,10.75,72.55813953488372,66.4477910213404,59.3105417172222,7.137249304118193,1.0
185,2011,el Fort Pienc,32348.0,81.2,18.8,30.7,1921.0,2086765,1279076,229822,123387,164767,132786,45689,10601,36257,20955.0,5986,30454.0,6985,911.0,11.88,76.68350168350167,66.2981719367589,68.8302865612648,-2.532114624505894,0.0
186,2011,el Guinardó,35673.0,85.6,14.4,23.1,2394.0,1946131,1283100,180045,131738,126936,28516,29992,124888,11171,19092.0,7896,1638.0,1119,755.0,10.78,70.03710575139146,65.8503096365623,65.8783310449183,-0.02802140835599687,0.0
187,2011,el Parc i la Llacuna del Poblenou,13772.0,80.4,19.6,26.5,854.0,1972447,512084,224185,212691,634560,281997,17240,20051,48159,8506.0,1398,0.0,11576,921.0,12.49,73.73899119295436,72.2917880023296,58.8235294117647,13.468258590564893,1.0
188,2011,el Poble Sec - Parc Montjuïc,40704.0,69.8,30.2,19.2,3442.0,2484983,1210714,140290,178120,213490,83494,120406,17378,218763,204371.0,7674,13361.0,76922,745.0,11.98,62.186978297161936,106.469035933608,104.81663254988,1.652403383728,1.0
189,2011,el Poblenou,32208.0,83.3,16.7,25.0,2000.0,1942995,1171834,175395,159463,269776,64745,21146,17090,51545,2341.0,6512,2219.0,929,953.0,13.16,72.41641337386018,74.2310449063542,67.9672161799994,6.263828726354802,1.0
190,2011,el Putxet i el Farró,29941.0,87.1,12.9,42.2,1529.0,2111848,1439466,287761,121612,93943,69759,33292,24434,16268,12461.0,10664,1709.0,479,968.0,12.77,75.80266249021143,59.5825553480928,64.350493464924,-4.767938116831203,0.0
191,2011,el Raval,48485.0,50.8,49.2,18.8,4989.0,2718514,1537346,165359,211933,133663,142501,170434,14885,229668,11511.0,29450,51621.0,20143,790.0,13.67,57.79078273591807,165.136268343816,175.094339622642,-9.958071278825997,0.0
192,2011,el Turó de la Peira,15270.0,76.0,24.0,10.3,1133.0,577994,448700,25836,32642,34115,2653,18636,5088,422,4753.0,4851,0.0,298,690.0,10.66,64.72795497185741,88.7241420542867,82.9247877555901,5.799354298696599,1.0
193,2011,l'Antiga Esquerra de l'Eixample,41653.0,80.9,19.1,39.4,2435.0,4011216,2306547,377149,338629,226392,346918,98343,156290,99441,6489.0,20592,9000.0,25426,1.061,12.4,0.08556451612903225,66.2952780591328,69.9609318477789,-3.6656537886460967,0.0
194,2011,la Barceloneta,15674.0,70.6,29.4,19.6,1464.0,1060884,428660,141252,60916,24042,121625,31577,39271,174879,27995.0,3627,,7040,731.0,16.94,43.15230224321133,87.9106938982621,100.215653938856,-12.304960040593897,0.0
195,2011,la Bordeta,18431.0,85.9,14.1,16.9,1247.0,981497,599557,126873,57415,103358,38752,16726,2514,1402,703.0,1240,0.0,32957,788.0,10.89,72.35996326905418,57.3003946159252,53.3542353640737,3.9461592518514976,1.0
196,2011,la Clota,472.0,76.4,23.6,16.1,24.0,36800,18720,888,2492,12044,0,1390,411,0,0.0,855,0.0,0,,,,95.2380952380952,97.4025974025974,-2.1645021645021956,0.0
197,2011,la Dreta de l'Eixample,43206.0,82.1,17.9,43.0,2123.0,6578152,3077569,468854,671556,537996,1169089,155836,58102,304188,12475.0,46949,27904.0,47634,1.253,13.03,0.09616270145817345,64.2507573992076,63.3884875320438,0.8622698671638034,1.0
198,2011,la Font d'en Fargues,9495.0,93.4,6.6,25.1,731.0,527828,372394,63743,12635,23122,3294,25179,8962,1677,12289.0,2718,1258.0,557,907.0,10.58,85.72778827977315,47.00944386149,39.3494228751312,7.660020986358802,1.0
199,2011,la Font de la Guatlla,10222.0,81.5,18.5,22.6,860.0,557762,370334,72395,37204,36040,8256,7270,10157,13702,1155.0,724,0.0,525,854.0,11.62,73.49397590361447,70.0381492712511,63.8755746845349,6.162574586716204,1.0
200,2011,la Guineueta,15294.0,92.0,8.0,12.9,1319.0,761463,521831,64690,41060,13680,30458,18278,3042,3196,27118.0,1929,0.0,36181,747.0,9.9,75.45454545454545,41.1972753471313,36.4160335341892,4.781241812942106,1.0
201,2011,la Marina de Port,30290.0,85.8,14.2,10.9,2301.0,1475853,928984,232040,95495,62336,43326,27063,3417,1044,34929.0,1721,44635.0,863,848.0,10.38,81.69556840077071,61.799424660252,58.2283503620673,3.5710742981846977,1.0
202,2011,la Marina del Prat Vermell,1065.0,91.7,8.3,2.6,135.0,4071927,79548,904199,256979,2434383,298028,32909,3254,8874,8074.0,155,0.0,45524,,,,65.8362989323843,43.5943060498221,22.241992882562194,1.0
203,2011,la Maternitat i Sant Ramon,23758.0,88.8,11.2,31.5,1344.0,2413407,960699,286503,109840,107987,164035,301659,47304,128238,277991.0,3878,140.0,25133,956.0,12.17,78.55382087099424,48.3870967741935,47.8367623401913,0.5503344340022025,1.0
204,2011,la Nova Esquerra de l'Eixample,57659.0,83.5,16.5,33.4,3356.0,4085485,2450297,499073,297008,227501,309221,102969,62581,50603,17784.0,10196,11213.0,47039,958.0,12.23,78.33197056418642,59.5778601878488,61.3800991231414,-1.8022389352925998,0.0
205,2011,la Prosperitat,26594.0,84.8,15.2,8.5,1969.0,1064858,780029,96843,75005,56329,8128,28790,3421,1315,12736.0,1622,536.0,104,679.0,10.47,64.85195797516714,60.265000376421,60.528495068885,-0.2634946924640005,0.0
206,2011,la Sagrada Família,52000.0,82.4,17.6,29.0,3170.0,2978089,2048405,326980,224006,203944,81106,15645,43604,13803,10185.0,1785,3197.0,5429,870.0,12.12,71.78217821782178,65.9693514584014,69.4302909111885,-3.4609394527870876,0.0
207,2011,la Sagrera,29136.0,86.4,13.6,17.7,1905.0,1576417,968238,196423,115277,133504,42643,64633,11246,2437,4752.0,1745,0.0,35519,796.0,10.97,72.56153144940747,69.3939185942755,65.6530990459194,3.7408195483561,1.0
208,2011,la Salut,13199.0,87.6,12.4,33.5,809.0,848811,535162,86250,34090,32288,13059,22842,82593,4442,23001.0,13737,665.0,682,878.0,11.74,74.78705281090289,57.0168769955907,54.8882469210886,2.128630074502098,1.0
209,2011,la Teixonera,11420.0,84.9,15.1,11.8,742.0,474767,350815,58343,32527,25617,3304,1968,221,719,181.0,1071,0.0,1,680.0,10.59,64.21152030217186,54.5947778908104,56.2902678874195,-1.6954899966091048,0.0
210,2011,la Trinitat Nova,7682.0,81.3,18.7,5.4,907.0,274024,215886,9675,9126,20363,630,10337,3608,0,3065.0,1334,0.0,0,636.0,10.85,58.61751152073733,87.2274143302181,87.3572170301142,-0.1298026998961035,0.0
211,2011,la Trinitat Vella,10372.0,66.4,33.6,7.3,1209.0,403523,250190,43672,33452,39837,5154,10727,1890,1967,2646.0,3253,0.0,10735,663.0,10.09,65.70862239841428,102.64805007222,101.974000962927,0.6740491092930085,1.0
212,2011,la Vall d'Hebron,5580.0,90.2,9.8,24.7,344.0,356653,213127,6346,6037,12538,1775,22587,1985,13478,54501.0,22694,0.0,1585,811.0,10.68,75.93632958801498,46.9534050179211,47.1326164874552,-0.17921146953410272,0.0
213,2011,la Verneda i la Pau,29131.0,89.0,11.0,9.8,2270.0,1437382,947798,68521,87124,267772,21338,25902,1837,426,4636.0,1769,0.0,10259,749.0,9.86,75.9634888438134,47.7059167727945,42.6461983271951,5.059718445599401,1.0
214,2011,la Vila Olímpica del Poblenou,9191.0,83.0,17.0,49.9,585.0,1074429,429399,206727,79390,135965,84617,38469,7143,25086,45360.0,736,0.0,21537,1.352,14.42,0.09375866851595008,48.313878080415,48.2057933419801,0.10808473843490418,1.0
215,2011,la Vila de Gràcia,51037.0,81.9,18.1,36.3,3245.0,3407479,2257312,285807,230826,249603,169066,57839,41190,39031,9374.0,46403,18347.0,2681,894.0,13.01,68.7163720215219,69.8836573748731,77.1648317326462,-7.281174357773111,0.0
216,2011,les Corts,46953.0,89.4,10.6,34.4,2629.0,3846530,1945034,606057,354677,286774,397347,56238,67196,92876,18122.0,13155,4785.0,4269,981.0,13.03,75.287797390637,46.7852373179573,51.1309435482161,-4.345706230258806,0.0
217,2011,les Roquetes,16050.0,78.0,22.0,5.9,1395.0,553079,411317,35421,32904,27818,2118,19214,3449,1519,19062.0,257,0.0,0,640.0,10.47,61.12702960840496,81.8790267092012,80.7531119034215,1.1259148057797006,1.0
